time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-05-07T23:35:14.932Z,-18.8124,-177.4881,384,6.1,mww,,24,4.367,0.55,us,us7000e175,2021-05-09T01:58:41.277Z,Fiji region,earthquake,7.6,1.9,0.048,42,reviewed,us,us
2021-05-07T15:21:13.733Z,-54.4068,144.1948,10,6,mww,,50,8.604,0.66,us,us7000e13b,2021-05-08T15:23:53.845Z,west of Macquarie Island,earthquake,7.6,1.8,0.049,40,reviewed,us,us
2021-05-05T01:24:35.005Z,-2.0115,99.7149,23.11,5.7,mww,,42,3.927,0.92,us,us7000e07p,2021-05-06T04:56:11.040Z,"137 km SSW of Padang, Indonesia",earthquake,7.1,4.4,0.089,12,reviewed,us,us
2021-05-03T08:46:39.734Z,51.3044,100.4309,17.05,5.6,mww,,38,2.043,0.7,us,us7000dznc,2021-05-04T15:11:02.322Z,"27 km SW of Turt, Mongolia",earthquake,7.4,3.1,0.06,27,reviewed,us,us
2021-05-03T05:07:29.866Z,25.7309,123.9688,189.23,5.5,mww,,64,1.528,0.98,us,us7000dzma,2021-05-04T14:51:43.040Z,"154 km N of Ishigaki, Japan",earthquake,7.8,6.9,0.066,22,reviewed,us,us
2021-05-04T19:51:42.475Z,-20.7347,-173.7742,10,5.5,mww,,37,7.049,0.71,us,us7000e04m,2021-05-06T20:23:34.751Z,"118 km SSE of Pangai, Tonga",earthquake,9.9,0.8,0.066,22,reviewed,us,us
2021-05-07T11:45:25.446Z,14.092,-48.4121,10,5.5,mww,,23,9.851,0.8,us,us7000e0zu,2021-05-08T11:49:00.670Z,North Atlantic Ocean,earthquake,8.1,1.8,0.057,30,reviewed,us,us
2021-05-05T19:20:09.931Z,-56.9506,147.4675,10,5.4,mww,,90,14.057,0.45,us,us7000e0eu,2021-05-06T19:24:02.729Z,west of Macquarie Island,earthquake,11,1.9,0.098,10,reviewed,us,us
2021-05-05T01:17:25.924Z,-20.6631,-173.3712,10,5.2,mb,,77,6.886,1.32,us,us7000e07n,2021-05-05T01:35:08.040Z,"139 km SE of Pangai, Tonga",earthquake,6.9,1.9,0.095,36,reviewed,us,us
2021-05-08T04:19:07.155Z,31.9839,140.3214,79.86,5.2,mww,,27,1.206,1.26,us,us7000e196,2021-05-08T04:48:10.040Z,"Izu Islands, Japan region",earthquake,8.3,5,0.098,10,reviewed,us,us
2021-05-03T03:54:32.338Z,-18.2038,-173.1986,10,5.1,mb,,54,4.482,0.81,us,us7000dzlu,2021-05-03T04:14:25.040Z,"96 km ENE of Neiafu, Tonga",earthquake,11,1.9,0.058,96,reviewed,us,us
2021-05-05T15:35:45.619Z,-15.0776,168.0329,3.72,5.1,mww,,56,0.881,0.83,us,us7000e0bu,2021-05-06T07:59:57.856Z,"103 km E of Port-Olry, Vanuatu",earthquake,7.1,2.5,0.098,10,reviewed,us,us
2021-05-06T12:20:37.575Z,-16.5721,167.2405,10,5.1,mww,,44,1.119,1.14,us,us7000e0lw,2021-05-07T14:12:57.040Z,"55 km SSW of Lakatoro, Vanuatu",earthquake,7.1,1.8,0.066,22,reviewed,us,us
2021-05-08T04:13:58.490Z,-4.5948,-105.4043,10,5.1,mww,,174,27.147,0.76,us,us7000e195,2021-05-08T04:39:52.040Z,central East Pacific Rise,earthquake,10.2,1.8,0.098,10,reviewed,us,us
2021-05-08T18:17:29.744Z,-55.3914,-29.0804,16.38,5.1,mb,,47,9.861,0.93,us,us7000e1e0,2021-05-08T18:51:07.040Z,South Sandwich Islands region,earthquake,10.5,1.9,0.068,69,reviewed,us,us
2021-05-04T13:33:23.232Z,-17.6613,167.9346,9.28,5,mww,,82,2.31,0.61,us,us7000dzzu,2021-05-04T14:15:08.040Z,"41 km WNW of Port-Vila, Vanuatu",earthquake,5.6,4.1,0.098,10,reviewed,us,us
2021-05-04T18:10:44.537Z,37.1944,141.8417,18.25,5,mww,,60,2.985,0.64,us,us7000e03w,2021-05-06T18:18:32.145Z,"81 km ESE of Namie, Japan",earthquake,4.8,3.8,0.098,10,reviewed,us,us
2021-05-04T22:59:11.355Z,1.5198,127.2862,150.04,5,mww,,38,0.747,0.85,us,us7000e06n,2021-05-04T23:18:18.040Z,"81 km N of Ternate, Indonesia",earthquake,7.8,5.4,0.089,12,reviewed,us,us
2021-05-05T05:16:34.022Z,-20.7206,-173.283,49.13,5,mb,,107,6.924,1.27,us,us7000e08y,2021-05-05T05:32:41.040Z,"150 km SE of Pangai, Tonga",earthquake,11.1,8.7,0.092,38,reviewed,us,us
2021-05-06T06:21:23.631Z,6.8063,125.2138,23.92,5,mww,,62,0.447,1.08,us,us7000e0jz,2021-05-07T16:36:02.111Z,"2 km N of Bansalan, Philippines",earthquake,8,4.2,0.098,10,reviewed,us,us
2021-05-06T12:40:00.852Z,-29.5662,-176.0611,10,5,mb,,68,1.661,1.44,us,us7000e0ly,2021-05-06T13:08:29.040Z,Kermadec Islands region,earthquake,11.2,1.9,0.042,188,reviewed,us,us
2021-05-07T04:25:32.005Z,-25.6809,-176.0374,35,5,mww,,120,9.617,0.84,us,us7000e0wq,2021-05-07T16:46:50.040Z,south of the Fiji Islands,earthquake,8.5,1.9,0.098,10,reviewed,us,us
2021-05-07T06:46:25.293Z,-20.8593,-173.3502,10,5,mb,,83,7.072,1.04,us,us7000e0xp,2021-05-07T07:07:51.040Z,"156 km SE of Pangai, Tonga",earthquake,9.8,1.9,0.115,24,reviewed,us,us
2021-05-07T10:48:37.913Z,-56.5349,-26.7477,44.32,5,mb,,68,10.266,1.1,us,us7000e0zf,2021-05-07T11:08:35.040Z,South Sandwich Islands region,earthquake,11,7.6,0.073,61,reviewed,us,us
2021-05-09T23:33:37.615Z,46.6766,151.9866,65.88,5,mb,,60,6.338,0.6,us,us7000e1nt,2021-05-10T01:18:06.040Z,Kuril Islands,earthquake,7.1,5,0.024,560,reviewed,us,us
2021-05-10T01:59:17.917Z,-17.7609,-173.66,35,5,mb,,41,4.235,1.34,us,us7000e1ph,2021-05-10T02:27:09.403Z,"104 km NNE of Neiafu, Tonga",earthquake,8.3,1.9,0.041,195,reviewed,us,us
2021-05-04T16:47:43.935Z,52.4413,-170.5567,54.27,4.9,mb,,135,0.556,0.63,us,us7000e01a,2021-05-04T21:27:14.040Z,"127 km WSW of Nikolski, Alaska",earthquake,3.5,5.8,0.029,376,reviewed,us,us
2021-05-04T22:31:16.052Z,8.6972,94.1794,10,4.9,mb,,72,3.261,1.17,us,us7000e06d,2021-05-04T23:04:57.040Z,"Nicobar Islands, India region",earthquake,8.1,1.8,0.071,63,reviewed,us,us
2021-05-05T03:58:18.876Z,-54.6646,158.8389,11.58,4.9,mb,,96,0.179,0.28,us,us7000e08r,2021-05-05T22:39:17.040Z,Macquarie Island region,earthquake,8.4,4.5,0.11,26,reviewed,us,us
2021-05-05T08:59:24.518Z,-22.8065,171.0713,54.81,4.9,mb,,99,3.352,1.25,us,us7000e0a3,2021-05-05T09:25:00.040Z,southeast of the Loyalty Islands,earthquake,8.9,8.2,0.064,76,reviewed,us,us
2021-05-05T18:13:32.158Z,-0.1057,123.0904,114.17,4.9,mb,,51,0.982,1.06,us,us7000e0eb,2021-05-05T18:38:24.040Z,"71 km S of Gorontalo, Indonesia",earthquake,7,6.4,0.049,130,reviewed,us,us
2021-05-05T21:23:00.510Z,-30.6869,59.3701,10,4.9,mww,,56,10.022,0.67,us,us7000e0gn,2021-05-07T16:09:35.040Z,Southwest Indian Ridge,earthquake,4.5,1.8,0.093,11,reviewed,us,us
2021-05-06T12:11:08.245Z,-7.5184,127.8547,155.58,4.9,mb,,54,3.444,1.14,us,us7000e0lt,2021-05-06T12:44:04.076Z,"145 km NE of Lospalos, Timor Leste",earthquake,5.1,7,0.076,54,reviewed,us,us
2021-05-06T22:21:27.071Z,-5.6072,151.7168,35,4.9,mb,,66,1.475,0.78,us,us7000e0uf,2021-05-06T22:51:06.040Z,"152 km SSW of Kokopo, Papua New Guinea",earthquake,9.5,1.9,0.04,194,reviewed,us,us
2021-05-07T02:40:46.998Z,-15.7316,167.5558,46.52,4.9,mb,,108,0.442,0.8,us,us7000e0w4,2021-05-07T03:00:00.040Z,"40 km NNE of Norsup, Vanuatu",earthquake,8.9,7,0.077,53,reviewed,us,us
2021-05-07T08:08:20.254Z,49.5473,155.6436,10,4.9,mb,,133,3.791,1.03,us,us7000e0y8,2021-05-07T08:28:41.040Z,"130 km SSW of Severo-Kuril’sk, Russia",earthquake,2.7,1.9,0.029,364,reviewed,us,us
2021-05-09T02:03:46.568Z,61.5106,-140.5285,2.1,4.9,mb,,31,0.432,1.11,us,us7000e1gi,2021-05-09T02:25:05.040Z,"127 km E of McCarthy, Alaska",earthquake,3.7,4.5,0.042,180,reviewed,us,us
2021-05-09T05:42:36.810Z,-6.1952,154.6142,78.28,4.9,mb,,69,3.149,0.65,us,us7000e1i6,2021-05-09T06:04:34.040Z,"97 km W of Panguna, Papua New Guinea",earthquake,10.4,7.2,0.048,137,reviewed,us,us
2021-05-03T16:07:54.460Z,-21.9085,-177.343,350.61,4.8,mb,,138,5.994,0.76,us,us7000dzqf,2021-05-03T17:20:00.040Z,"235 km WSW of Haveluloto, Tonga",earthquake,11.2,8.8,0.059,91,reviewed,us,us
2021-05-04T19:33:00.014Z,43.3468,146.4972,57.47,4.8,mb,,101,2.799,0.86,us,us7000e04g,2021-05-04T21:26:06.040Z,"53 km SSW of Shikotan, Russia",earthquake,8.7,5.6,0.037,229,reviewed,us,us
2021-05-07T07:43:50.053Z,4.4628,127.3804,61.68,4.8,mb,,112,3.149,0.83,us,us7000e0y4,2021-05-07T08:01:22.040Z,"236 km ESE of Sarangani, Philippines",earthquake,9,3.3,0.066,71,reviewed,us,us
