time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-05-07T04:35:14.150Z,39.461,-120.3145,10.12,4.65,mw,19,50,0.03461,0.09,nc,nc73559265,2021-05-09T03:13:38.690Z,"19km NW of Truckee, CA",earthquake,0.24,0.54,,3,reviewed,nc,nc
2021-05-08T08:13:52.766Z,38.192,-117.8644,5.2,4.4,ml,26,39.68,0.031,0.1236,nn,nn00806762,2021-05-09T02:33:28.438Z,"30 km SE of Mina, Nevada",earthquake,,0.9,0.22,9,reviewed,nn,nn
2021-04-14T23:54:02.974Z,35.85296631,-101.0077374,7.70324707,4.3,ml,21,85,0.664425269,0.3,tx,tx2021hiaf,2021-04-27T23:37:49.819Z,"34 km NNE of Skellytown, Texas",earthquake,2.077357156,2.078053458,0.1,7,reviewed,tx,tx
2021-04-28T11:57:24.950Z,38.1672,-116.7295,8.3,4.1,ml,16,72.84,0.399,0.1758,nn,nn00806025,2021-04-29T11:58:57.410Z,"45 km ENE of Tonopah, Nevada",earthquake,,4.5,0.33,10,reviewed,nn,nn
2021-04-20T09:48:34.270Z,40.188,-123.5988333,33.89,4.03,mw,49,40,0.08529,0.18,nc,nc73552000,2021-04-26T16:43:12.726Z,"20km ENE of Redway, CA",earthquake,0.26,0.6,,4,reviewed,nc,nc
2021-04-27T19:42:11.085Z,31.66252346,-104.3703037,7.365551758,4,ml,46,62,0.11139672,0.3,tx,tx2021iflj,2021-05-03T14:23:35.379Z,"56 km S of Whites City, New Mexico",earthquake,0.849925153,1.385288688,0.1,25,reviewed,tx,tx
2021-04-19T18:50:58.790Z,38.757,-122.7228333,2.88,3.98,mw,101,36,0.004853,0.07,nc,nc73551560,2021-05-08T14:34:57.804Z,"3km SW of Anderson Springs, CA",earthquake,0.09,0.14,,3,reviewed,nc,nc
2021-04-19T20:42:38.670Z,44.531,-115.2481667,11.79,3.91,ml,22,83,0.379,0.21,mb,mb80498119,2021-04-23T04:12:53.513Z,"42 km NW of Stanley, Idaho",earthquake,0.31,0.66,0.312,35,reviewed,mb,mb
2021-04-23T11:18:40.530Z,39.5256667,-123.0365,7.42,3.91,mw,96,20,0.1198,0.14,nc,nc73553370,2021-04-27T09:28:12.223Z,"15km NNW of Lake Pillsbury, CA",earthquake,0.12,0.42,,5,reviewed,nc,nc
2021-04-13T12:22:35.783Z,43.5929,-107.4198,13.68,3.9,mwr,,48,1.147,1.33,us,us6000e173,2021-04-14T14:53:40.910Z,"49 km S of Ten Sleep, Wyoming",earthquake,2.9,7.2,0.051,37,reviewed,us,us
2021-04-20T02:39:04.860Z,39.5165,-122.017,23.07,3.82,mw,28,52,0.2565,0.18,nc,nc73551855,2021-04-26T16:45:58.287Z,"15km E of Willows, CA",earthquake,0.34,0.68,,6,reviewed,nc,nc
2021-05-06T11:35:32.202Z,39.7497,-97.9905,5,3.8,mb_lg,,56,1.25,0.53,us,us7000e0ln,2021-05-07T11:38:01.822Z,"3 km S of Formoso, Kansas",earthquake,2.7,2,0.039,175,reviewed,us,us
2021-05-05T08:58:30.010Z,31.4775,-115.6811667,13.27,3.71,ml,11,105,0.1229,0.21,ci,ci39641111,2021-05-05T14:36:37.491Z,"88km ESE of Maneadero, B.C., MX",earthquake,0.48,0.89,0.181,77,reviewed,ci,ci
2021-04-16T00:43:50.653Z,32.6037,-94.015,3.4,3.7,ml,,72,1.004,1.05,us,us6000e1z3,2021-05-02T04:26:23.138Z,"10 km SSW of Mooringsport, Louisiana",earthquake,2,9,0.115,10,reviewed,us,us
2021-04-25T15:33:23.610Z,39.1283333,-120.0433333,7.51,3.7,mw,33,46,0.102,0.24,nc,nc73554385,2021-05-07T05:05:19.004Z,"8km SE of Dollar Point, CA",earthquake,0.27,0.92,,3,reviewed,nc,nc
2021-04-26T05:12:05.222Z,31.5172,-115.6238,10,3.7,ml,,102,0.185,0.67,us,us6000e4v0,2021-04-27T05:14:09.280Z,"62 km ENE of San Vicente, Mexico",earthquake,2.3,1.9,0.047,60,reviewed,us,us
